earth_date_time,mars_date_time,sol_number,max_ground_temp(°C),min_ground_temp(°C),max_air_temp(°C),min_air_temp(°C),mean_pressure(Pa),sunrise,sunset,UV_Radiation,weather
Earth  2022-01-26 UTC,Mars  Month 6 - LS 163°,3368,-3,-71,10,-84,707,05:25,17:20,1,Sunny
Earth  2022-01-25 UTC,Mars  Month 6 - LS 163°,3367,-3,-72,10,-87,707,05:25,17:20,1,Sunny
Earth  2022-01-24 UTC,Mars  Month 6 - LS 162°,3366,-4,-70,8,-81,708,05:25,17:21,1,Sunny
Earth  2022-01-23 UTC,Mars  Month 6 - LS 162°,3365,-6,-70,9,-91,707,05:26,17:21,1,Sunny
Earth  2022-01-22 UTC,Mars  Month 6 - LS 161°,3364,-7,-71,8,-92,708,05:26,17:21,1,Sunny
Earth  2022-01-21 UTC,Mars  Month 6 - LS 161°,3363,-8,-71,8,-80,707,05:26,17:21,1,Sunny
Earth  2022-01-20 UTC,Mars  Month 6 - LS 160°,3362,-4,-72,5,-84,706,05:26,17:21,1,Sunny
Earth  2022-01-19 UTC,Mars  Month 6 - LS 160°,3361,-6,-70,5,-73,705,05:26,17:21,1,Sunny
Earth  2022-01-18 UTC,Mars  Month 6 - LS 159°,3360,-6,-71,3,-89,707,05:27,17:21,1,Sunny
Earth  2022-01-17 UTC,Mars  Month 6 - LS 158°,3359,-9,-71,5,-80,708,05:27,17:21,1,Sunny
Earth  2022-01-16 UTC,Mars  Month 6 - LS 158°,3358,-6,-71,5,-88,706,05:27,17:21,1,Sunny
Earth  2022-01-15 UTC,Mars  Month 6 - LS 157°,3357,-7,-71,4,-88,706,05:27,17:21,1,Sunny
Earth  2022-01-14 UTC,Mars  Month 6 - LS 157°,3356,-6,-69,3,-86,706,05:27,17:21,1,Sunny
Earth  2022-01-13 UTC,Mars  Month 6 - LS 156°,3355,-5,-70,2,-85,706,05:28,17:21,1,Sunny
Earth  2022-01-11 UTC,Mars  Month 6 - LS 155°,3353,-14,-69,0,-77,705,05:28,17:21,1,Sunny
Earth  2022-01-10 UTC,Mars  Month 6 - LS 155°,3352,-16,-70,0,-82,706,05:28,17:22,1,Sunny
Earth  2022-01-09 UTC,Mars  Month 6 - LS 154°,3351,-16,-71,-1,-78,703,05:29,17:22,1,Sunny
Earth  2022-01-08 UTC,Mars  Month 6 - LS 154°,3350,-20,-72,-7,-84,703,05:29,17:22,0,Sunny
Earth  2022-01-07 UTC,Mars  Month 6 - LS 153°,3349,-12,-72,-3,-79,702,05:29,17:22,1,Sunny
Earth  2022-01-06 UTC,Mars  Month 6 - LS 153°,3348,-12,-72,-1,-77,703,05:29,17:22,1,Sunny
Earth  2022-01-05 UTC,Mars  Month 6 - LS 152°,3347,-7,-72,3,-82,705,05:29,17:22,1,Sunny
Earth  2022-01-04 UTC,Mars  Month 6 - LS 151°,3346,-12,-72,3,-86,706,05:30,17:22,1,Sunny
Earth  2022-01-03 UTC,Mars  Month 6 - LS 151°,3345,-6,-73,7,-84,703,05:30,17:22,1,Sunny
Earth  2021-12-20 UTC,Mars  Month 5 - LS 144°,3332,-6,-73,7,-80,703,05:33,17:23,1,Sunny
Earth  2021-12-19 UTC,Mars  Month 5 - LS 144°,3331,-5,-73,3,-78,705,05:33,17:23,1,Sunny
Earth  2021-12-18 UTC,Mars  Month 5 - LS 143°,3330,-15,-74,1,-80,707,05:33,17:24,1,Sunny
Earth  2021-12-17 UTC,Mars  Month 5 - LS 143°,3329,-13,-76,5,-87,708,05:34,17:24,2,Sunny
Earth  2021-12-16 UTC,Mars  Month 5 - LS 142°,3328,-15,-76,7,-84,707,05:34,17:24,2,Sunny
Earth  2021-12-15 UTC,Mars  Month 5 - LS 142°,3327,-7,-75,6,-81,708,05:34,17:24,2,Sunny
Earth  2021-12-14 UTC,Mars  Month 5 - LS 141°,3326,-11,-70,10,-85,708,05:34,17:24,2,Sunny
Earth  2021-12-13 UTC,Mars  Month 5 - LS 141°,3325,-20,-98,10,-87,709,05:34,17:24,2,Sunny
Earth  2021-12-12 UTC,Mars  Month 5 - LS 140°,3324,-21,-73,7,-80,711,05:35,17:24,2,Sunny
Earth  2021-12-11 UTC,Mars  Month 5 - LS 140°,3323,-23,-74,6,-85,713,05:35,17:24,2,Sunny
Earth  2021-12-10 UTC,Mars  Month 5 - LS 139°,3322,-12,-76,8,-84,713,05:35,17:24,1,Sunny
